Beat 1, Beat 2, Correlation
1012, 1935, 0.9975977014889625
1023, 0522, 0.9975820893899532
0612, 0735, 0.9975490502445437
0231, 2024, 0.997538612777482
0633, 0533, 0.9975318272819406
1012, 2523, 0.9975273692534941
0835, 1022, 0.997468894569692
1221, 1233, 0.9974456996197214
1651, 1132, 0.9974387888604755
0524, 0221, 0.9974188761081425
0813, 1732, 0.9974131208978182
0321, 1433, 0.9973997122749211
2212, 0611, 0.9973991100329458
0813, 1421, 0.9973836645982643
1431, 2531, 0.9973715449383408
1923, 0113, 0.9973258181803345
1223, 0734, 0.9973211906365969
2221, 0732, 0.997317251791595
1135, 1915, 0.997312368454819
1123, 2212, 0.9972855240396422
1922, 0213, 0.9972490651296951
0513, 1915, 0.9972479409780131
1232, 2232, 0.9972474533562217
1622, 0726, 0.9972430483011604
1924, 1033, 0.9972387522578382
1434, 1033, 0.9972126760210366
1832, 1115, 0.9972084672273962
1223, 2534, 0.9971995295340208
2031, 0623, 0.9971846365806025
0621, 0333, 0.9971835199603877
1011, 1233, 0.9971809587613475
0211, 0412, 0.9971769404736518
2024, 0935, 0.9971314812786795
0723, 0513, 0.9971306216266597
1922, 1915, 0.9971230532790455
0231, 0823, 0.9971138513207266
1022, 1422, 0.9970902426698016
1135, 0835, 0.9970857181048565
1732, 2423, 0.9970611937061103
0815, 1812, 0.9970567599862415
0914, 2533, 0.9970318704767049
1032, 0522, 0.9970288673981962
1024, 0532, 0.997022086195898
0612, 1524, 0.9970211477909069
2422, 1912, 0.997011901137802
0835, 1634, 0.9970063893926434
1533, 1712, 0.9969894978394492
1012, 2233, 0.9969741151043784
0724, 0832, 0.9969700036566462
2212, 0733, 0.9969656908038659
2212, 0223, 0.9969635005609638
1233, 2233, 0.9969549541475721
0232, 2512, 0.9969409655553808
0132, 0725, 0.9969404934722816
2433, 2413, 0.9969291007880261
0424, 2522, 0.9969264015776645
0431, 0334, 0.9969259867083327
0711, 0411, 0.9969009244462599
1231, 0113, 0.9968981273984031
0632, 0634, 0.9968977935707737
0812, 1915, 0.9968841328769966
0413, 2233, 0.9968765743414265
1121, 0511, 0.9968740594149756
1431, 1122, 0.99686026367258
0524, 1012, 0.9968438451573788
1032, 1923, 0.9968422572624929
0623, 0121, 0.9968418516760369
0715, 0334, 0.9968300543646141
1123, 0223, 0.9968276038523125
2024, 0823, 0.9968114967832508
0311, 1225, 0.9968005869148542
1732, 2234, 0.9967815952893334
0122, 1824, 0.9967690657148328
0313, 1232, 0.9967523428559618
0413, 0133, 0.9967511099538784
0624, 0431, 0.9967073898701806
0213, 0522, 0.9967057386615525
0734, 0925, 0.9967005705763851
0132, 2534, 0.9966823804073501
0833, 0622, 0.9966647734790623
1231, 1623, 0.9966456209591441
0735, 0321, 0.9966280713756427
1022, 0731, 0.9966258080372747
1011, 1833, 0.996617809214626
0735, 1524, 0.9966162516662014
0213, 1023, 0.9966008160043268
0531, 0124, 0.9965970520438773
1024, 1433, 0.9965966883131528
2515, 2232, 0.9965947169956972
0722, 0512, 0.9965927854059087
0321, 1024, 0.9965920364507506
1121, 0523, 0.9965879338060203
1433, 0732, 0.9965877531861127
0725, 1214, 0.9965734719679118
0524, 0133, 0.9965502344155347
2024, 0733, 0.9965420598599807
0722, 1934, 0.9965237969508065
0711, 2515, 0.9965132290809438
0332, 1422, 0.9965120328469637
0621, 0714, 0.9965102213237996
0924, 2234, 0.9965095429207463
1634, 1915, 0.9965078737761359
1732, 0924, 0.9965047310645946
0524, 2213, 0.9965032746955772
1024, 0224, 0.9965007852751477
0711, 0814, 0.9964947019450424
0132, 1223, 0.9964872830086806
1622, 1612, 0.9964757917764063
0414, 0523, 0.9964654026804567
2533, 0131, 0.9964621883973757
0431, 1511, 0.9964580745550593
1924, 1434, 0.9964504571134616
0423, 0711, 0.9964496611779268
2013, 0833, 0.996414053012997
0726, 0123, 0.9964118082496447
1131, 1024, 0.9964017499505872
1833, 0323, 0.9964009415753515
0122, 2523, 0.9963961249182386
0621, 0711, 0.9963906875732492
0225, 1823, 0.996387393521387
0624, 1511, 0.9963729395985408
1811, 0333, 0.9963701114560732
1121, 0634, 0.996368751649696
0312, 0624, 0.9963443400138047
2521, 1433, 0.9963369809513705
0413, 1935, 0.9963356240164091
1223, 1213, 0.9962954507842209
0723, 0812, 0.996290613784034
0914, 1124, 0.9962897327682281
0221, 1233, 0.9962868098246777
1135, 0213, 0.9962698203256187
0715, 0223, 0.9962648784497417
2222, 0823, 0.9962641791152315
1433, 0532, 0.9962508632664008
1924, 0311, 0.9962504260517568
0813, 2221, 0.9962389319942816
1424, 0432, 0.9961973425012212
0634, 0523, 0.9961972804263673
1021, 0131, 0.9961885984326498
0222, 2533, 0.9961754537764882
0511, 1214, 0.9961691343658831
0321, 2521, 0.9961399560354497
1134, 1834, 0.996132916897773
2521, 1524, 0.9961271596424313
1411, 0833, 0.9961226126725451
1235, 1012, 0.9961222890163421
1132, 0511, 0.9961193401019396
1121, 0823, 0.9961098361127747
0612, 0224, 0.9961086453637501
1432, 0622, 0.9961052808309037
0735, 2533, 0.9960932686554095
1211, 0812, 0.9960853092306945
1011, 0323, 0.9960846957688013
0413, 1012, 0.9960840344650084
1723, 0434, 0.9960804075302435
0724, 1614, 0.9960649283221753
2213, 2233, 0.9960465154651127
0423, 0614, 0.9960426803918381
0133, 0533, 0.9960332503145299
0634, 0511, 0.9960201878465591
0124, 2213, 0.9960159983502622
1931, 0621, 0.9960016409401208
0132, 0734, 0.9959749624067638
1023, 1915, 0.995974301307147
0124, 1133, 0.9959684788764191
0231, 0523, 0.9959669799258374
1512, 0613, 0.9959653483941745
0513, 0213, 0.9959579218431038
0413, 1235, 0.9959463152508731
1925, 1524, 0.9959422038150543
0423, 0412, 0.9959181858713477
0732, 0532, 0.9959156257796654
0321, 1524, 0.9959090331111548
0831, 1114, 0.9959086961774846
1934, 0533, 0.9958957783178425
0411, 2515, 0.9958957069741068
0714, 2515, 0.995886942054031
0723, 1022, 0.9958845324972154
0414, 0611, 0.9958812277627437
1121, 2223, 0.9958681414634721
0523, 2222, 0.9958676886383203
0724, 0613, 0.9958673827763026
0624, 0613, 0.9958548748414551
0324, 2232, 0.9958436205558092
1013, 2522, 0.9958341116753657
2011, 1913, 0.995819442213164
0724, 0414, 0.995810430939309
0424, 0512, 0.9958037818925971
1421, 0924, 0.9958033308749571
0726, 1612, 0.9958001850070309
1132, 0613, 0.9957979563140957
1013, 1823, 0.9957975927636313
0831, 0214, 0.9957743905505547
0321, 0224, 0.9957737426441218
0131, 0532, 0.9957685323968468
0413, 1031, 0.995766378945173
0423, 1733, 0.9957360954507335
2512, 1925, 0.9957226603255261
0411, 1225, 0.9957195341913729
0735, 1925, 0.9956788973839868
1651, 1214, 0.9956686671898485
2011, 2232, 0.9956655205609332
0914, 0224, 0.9956623055087753
2523, 1935, 0.9956566334623808
0223, 0334, 0.995655965125835
0724, 0312, 0.9956480414060266
1931, 0921, 0.9956388217489552
0423, 0714, 0.9956295467163354
2423, 0825, 0.9956220453092663
0832, 0431, 0.9956177861094443
0211, 0411, 0.9956104224132906
1235, 0221, 0.9955992089627742
1011, 1012, 0.9955873633581561
0621, 0411, 0.9955787629490991
1651, 0511, 0.9955682288337956
0132, 1214, 0.9955646245806032
0722, 0413, 0.9955601907835109
1124, 1433, 0.9955515339826678
0413, 0323, 0.9955462814258569
0414, 0634, 0.9955446262508993
2423, 2221, 0.9955414454154603
0813, 2423, 0.9955291997928255
0533, 0631, 0.995528314145683
0914, 1021, 0.9955146963445415
1931, 0614, 0.9955146612825096
0612, 1433, 0.9955007358238394
1922, 1023, 0.9955001801714588
1412, 0434, 0.9954933542065073
1433, 1524, 0.9954901091329196
1011, 2213, 0.9954817314112359
1211, 0723, 0.9954790025974032
0312, 2212, 0.9954766857506941
0212, 1712, 0.9954730455684044
0122, 1012, 0.9954679676161299
1833, 2233, 0.9954679244330532
1531, 0235, 0.9954495734751504
0223, 1614, 0.9954432879480359
0623, 1132, 0.9954264272447134
0914, 0131, 0.9954256672732752
2024, 0312, 0.995425107729096
1124, 0732, 0.9954211940960425
0133, 1012, 0.9954209664221495
1612, 2432, 0.9954143441841354
0232, 0612, 0.9953981964596168
0724, 0734, 0.9953841290001106
2521, 1624, 0.9953802757852223
0133, 2233, 0.9953643638432789
1613, 1833, 0.9953634829456239
1211, 0835, 0.9953632856079417
0612, 0732, 0.995357387266798
1032, 1922, 0.9953501085388528
0213, 1634, 0.99534445202775
1125, 1915, 0.9953358096768563
0211, 1225, 0.9953339256214064
0522, 1915, 0.9953271987320792
0634, 0734, 0.9953169444601058
0735, 0732, 0.9952991909646839
2512, 2023, 0.9952837021665737
1931, 0714, 0.9952821083487366
0423, 2232, 0.9952810415910628
0211, 1924, 0.9952757335911037
0214, 1912, 0.9952694333649986
0831, 1125, 0.9952678912498976
2023, 1925, 0.995260313777005
1132, 0734, 0.9952568354175129
0531, 1412, 0.9952564438119645
0523, 0733, 0.9952544626177641
1132, 1511, 0.9952175383057019
1932, 2412, 0.9952169211420575
1213, 2534, 0.9952043518187539
1231, 1932, 0.9952029378812771
1022, 0213, 0.9951975521772387
0511, 0734, 0.9951852514895856
0524, 1233, 0.995178767983656
1923, 1023, 0.9951665956635116
0314, 1621, 0.9951606631752716
0332, 0513, 0.9951605478008394
1911, 1913, 0.9951553991361483
1121, 2222, 0.995154106246021
0413, 2213, 0.9951525068527276
0911, 0631, 0.9951421367684582
0613, 0925, 0.9951320458367496
1911, 2232, 0.9950875851939044
0914, 2234, 0.9950821735087527
0331, 2223, 0.9950794250646776
0624, 0733, 0.9950758443438311
1512, 0431, 0.9950721880984271
1135, 0821, 0.9950531296895053
0332, 1634, 0.9950475995039151
0312, 0523, 0.9950463227513202
0821, 1634, 0.9950439426542877
0711, 0713, 0.9950439116137908
1923, 1231, 0.9950311890822963
1411, 0622, 0.9950231676517431
0211, 0423, 0.9950150105389556
0222, 0732, 0.9950015475354992
0715, 0611, 0.9949998619453028
1221, 1012, 0.9949998416363662
0621, 2232, 0.9949943995887142
0821, 1125, 0.9949890452301704
0524, 1935, 0.9949780576665906
0724, 0733, 0.9949585971454227
0531, 2213, 0.994953906116873
2433, 0713, 0.9949512392044454
0835, 0513, 0.9949355959309947
2533, 1433, 0.9949328665158034
2514, 1712, 0.9949303084355342
0715, 1614, 0.9949163103787335
1911, 0814, 0.9949078378212313
0133, 2523, 0.9948948403790668
0621, 0421, 0.9948915588844395
1124, 0224, 0.994890546632645
0614, 0714, 0.9948903825268861
1431, 1731, 0.9948870930209887
2212, 0935, 0.9948666080391051
2422, 0835, 0.9948330849713021
0421, 2232, 0.994798815544979
0715, 0431, 0.9947949503218656
2423, 1421, 0.9947943918574774
0915, 0722, 0.9947876984512458
0711, 1232, 0.9947828538511344
1132, 0431, 0.9947760134278526
2522, 0512, 0.9947688341990395
0211, 1434, 0.9947547855160136
0715, 0823, 0.9947517836883452
2223, 2222, 0.994746430803106
0332, 0234, 0.9947361694930438
0724, 0725, 0.9947208744068767
0915, 1034, 0.9947114470822266
1122, 2432, 0.9946772662527626
0232, 1524, 0.9946680620045262
0935, 0733, 0.9946661110455165
0612, 2221, 0.9946627645372237
0911, 0824, 0.9946601480529204
1135, 0332, 0.9946581566035981
0331, 0511, 0.9946539321544877
1233, 1935, 0.9946508810900003
1651, 0613, 0.994642753777306
0212, 1923, 0.9946317566904924
0725, 2534, 0.9946314724782669
1211, 1414, 0.9946193081614785
1631, 0114, 0.9946055015989462
0213, 1125, 0.9946023913930833
1211, 0114, 0.9945959769334851
2532, 2431, 0.9945953417347977
2423, 0924, 0.9945859864550113
0632, 0523, 0.9945279711482108
0714, 0333, 0.9945224608345008
1033, 1225, 0.9945192006176805
1934, 1933, 0.9945038109725808
0911, 2424, 0.9944722260017808
1031, 2523, 0.9944707629125136
1932, 1533, 0.9944696122869027
0634, 0823, 0.9944656705562813
0212, 0513, 0.9944375970392231
0734, 0431, 0.9944315847987942
0711, 0324, 0.994427582498915
2213, 1012, 0.9944214528196835
0923, 0333, 0.9944163790722518
0735, 1024, 0.9943948555350695
0312, 0431, 0.9943926023889934
1532, 1232, 0.9943800461807103
0215, 1722, 0.994349143922169
1111, 2234, 0.9943488405646317
1111, 1124, 0.9943394780771799
0814, 0324, 0.9943383140296655
0813, 1124, 0.9943377396058922
2212, 0823, 0.994329830515116
1215, 1813, 0.9943194444168582
0723, 1922, 0.9943153760300637
1132, 0925, 0.9943115492199904
1114, 0214, 0.9942990049807744
1122, 0923, 0.9942974229726353
0313, 0713, 0.9942886922921381
1413, 1021, 0.9942738784120407
0814, 0421, 0.9942550861634148
0211, 0614, 0.9942541175510744
0412, 0411, 0.9942540297949234
0724, 0624, 0.9942525912101379
0531, 0133, 0.9942505709081021
0821, 1623, 0.9942424251898884
1034, 0323, 0.9942408359017686
1211, 0213, 0.994235646358168
0914, 0532, 0.994229665419453
0923, 0421, 0.9941905836784867
0212, 1533, 0.9941887512832458
1235, 1233, 0.9941781189384932
0835, 1422, 0.9941715490479949
1022, 1125, 0.994167989274907
1923, 0314, 0.9941584675206114
1124, 2234, 0.9941552890104035
1651, 0431, 0.9941552330515733
0835, 0332, 0.9941308696409253
0725, 0431, 0.9941198448267803
0621, 0324, 0.9941111204788221
2533, 1413, 0.9941089133242438
0932, 0232, 0.9940908891657096
1733, 0714, 0.9940872816495873
0913, 1532, 0.9940829752043309
0424, 1823, 0.994082553157449
1653, 1422, 0.9940725308625862
0313, 0913, 0.9940680366868964
1633, 2521, 0.9940559209493761
0332, 0731, 0.9940554919251355
0413, 2523, 0.9940551759091774
0722, 0133, 0.9940473962487748
1934, 0631, 0.9940402237357698
1032, 0213, 0.9940372094961166
0121, 1132, 0.9940331041205931
1931, 0412, 0.9940273156709389
1724, 1524, 0.9940080136574816
1531, 1613, 0.9940017020436126
0523, 0611, 0.9939801128014545
0632, 1214, 0.9939792129562475
2233, 1935, 0.9939686425352982
2024, 0414, 0.9939661733934536
1931, 2232, 0.9939525685365486
2024, 2212, 0.9939474205248885
0835, 0213, 0.9939410572341761
0212, 0113, 0.9939356909029803
1524, 0224, 0.9939347738667385
0723, 0821, 0.9939327333593113
2024, 0523, 0.9939225982799105
1013, 0512, 0.9939176501181928
1022, 0234, 0.9939158094474266
0222, 2221, 0.9939110720247721
2024, 2222, 0.9939108892222221
0914, 0813, 0.9938939404550386
0412, 1733, 0.9938936124964444
2535, 1821, 0.9938886415540569
0612, 0825, 0.9938798203260861
2011, 0814, 0.9938673545804217
1223, 1214, 0.9938514819734056
0124, 0133, 0.9938486557898971
0921, 0123, 0.9938381584229111
1032, 1932, 0.9938300975662696
1032, 1533, 0.9938282296134051
0531, 0122, 0.9938165706352144
0321, 0532, 0.9938017359379859
1011, 0133, 0.9937708552639456
0513, 0821, 0.9937650005505929
0222, 0825, 0.9937639481758397
1014, 2431, 0.9937625961778724
0612, 2533, 0.9937612859393272
0212, 2412, 0.99375505969171
1013, 1531, 0.9937485630369794
0533, 2213, 0.9937422713130697
1123, 0715, 0.9937357728738813
0831, 1634, 0.9937243042901027
1235, 0124, 0.9937001380887618
0621, 1733, 0.9936933790764212
1123, 0733, 0.993690616204035
2223, 1132, 0.993687718426582
0711, 0421, 0.9936796794012372
0835, 1915, 0.9936759667510194
1011, 0413, 0.9936639782749903
2012, 0311, 0.9936621339982605
0332, 1125, 0.9936538697014731
1434, 0322, 0.9936428648786184
0624, 1132, 0.9936205079412218
1831, 1115, 0.993609862711372
0825, 1655, 0.9935966165100324
0914, 2221, 0.9935927497015667
0914, 1433, 0.9935897358655349
1012, 0221, 0.9935802267857583
1013, 0225, 0.9935677370962939
1032, 1915, 0.9935477943079867
0431, 0925, 0.9935442199200396
1022, 1915, 0.9935306044829038
2223, 0121, 0.9935038702204897
1421, 1021, 0.9934964440414722
0912, 2534, 0.993494154010644
2433, 0923, 0.9934869785418672
1924, 0411, 0.9934865746178508
0932, 1925, 0.9934745168208297
0614, 2515, 0.9934602935116319
1132, 0725, 0.993456349167784
0522, 1224, 0.9934380746376308
0831, 1135, 0.9934328507326462
0621, 1811, 0.9934189062562951
0411, 0814, 0.9934173167202588
0815, 0122, 0.993409432923059
0914, 1421, 0.9933949934878196
0614, 1733, 0.9933948457688777
0331, 1651, 0.9933942068746301
0913, 0713, 0.9933807856489585
1533, 0113, 0.9933768937855784
0215, 1513, 0.9933643003648663
2512, 1524, 0.9933479544033196
1031, 1935, 0.993346682600587
2413, 0713, 0.9933247841714532
2412, 0113, 0.9933048352050655
0212, 1915, 0.993300395522481
1833, 1233, 0.9932992541251237
0634, 0611, 0.9932920239649485
0531, 1824, 0.993279633235619
0734, 2534, 0.9932794724190112
1023, 0812, 0.993276881924661
1434, 1225, 0.9932467900400386
0232, 1724, 0.9932231719640795
0422, 1234, 0.9932214134920097
2223, 0823, 0.9932121349212694
1231, 1915, 0.9932010108599207
0122, 0133, 0.9931975288160644
1432, 0612, 0.9931775550111599
1022, 0812, 0.9931713592014404
2531, 2432, 0.9931705548606994
2533, 1655, 0.9931669804397392
0813, 0732, 0.993163184709409
0713, 0324, 0.9931449376775593
1123, 2024, 0.9931359273827568
2221, 2533, 0.9931322043590649
0231, 0733, 0.993132164655187
1113, 2525, 0.9931289851308158
2422, 1653, 0.9931214686622934
0111, 1654, 0.993120062197801
0621, 1911, 0.9931183211301183
2521, 0224, 0.9931058139312297
0725, 0613, 0.9931045595259951
0811, 2532, 0.9930995249608362
0524, 1833, 0.9930967615656755
0722, 0524, 0.9930960214850806
0513, 1231, 0.9930897326211038
0132, 1213, 0.9930884336157259
2412, 0522, 0.9930285965236931
1121, 1132, 0.993014710157745
0834, 0833, 0.9930091527335173
0613, 0334, 0.9929922191192749
0124, 1933, 0.9929921367818667
0713, 2232, 0.9929907904558335
0411, 2232, 0.9929906015685432
1811, 1733, 0.9929903831927063
1934, 1031, 0.992981199110385
0614, 0411, 0.9929799340637633
1911, 1612, 0.9929776699900469
2221, 0224, 0.9929770512346284
0314, 1231, 0.9929757257400429
0431, 0733, 0.9929651496504038
0111, 0114, 0.9929589541338907
0724, 1651, 0.9929474823351925
0212, 1623, 0.9929341095353418
0722, 0533, 0.9929288954252599
0634, 0715, 0.99291170906653
0214, 0821, 0.9929115854231243
0414, 0334, 0.9928948890665067
0414, 0223, 0.9928831439616421
1121, 0312, 0.9928801360908572
1733, 1225, 0.9928658508983484
1623, 0113, 0.9928579669445594
1023, 1533, 0.9928573678006457
1031, 0533, 0.9928552450596253
1231, 2412, 0.9928491388000377
0312, 0935, 0.9928451517754596
0523, 2212, 0.9928350048775354
0832, 0613, 0.9928341167194792
2534, 1214, 0.9928333271898763
0331, 1511, 0.9928277626431324
1235, 0323, 0.9928149071463025
1213, 0925, 0.9928082464551798
1131, 0131, 0.9928068169709302
1923, 1712, 0.9928064378349079
2533, 1024, 0.9928052381082796
0312, 0634, 0.9927891316437629
1931, 0411, 0.9927884194372589
0824, 0631, 0.9927883971504126
0724, 0223, 0.9927854055735876
1113, 1813, 0.9927853241759971
0613, 0734, 0.9927797535271198
0722, 2213, 0.9927650792704235
0714, 0814, 0.9927601456718885
1733, 2515, 0.9927569111757517
0225, 0323, 0.992755676240781
1023, 1224, 0.9927482645819806
0231, 0312, 0.9927276029552834
1124, 2221, 0.99272126326173
0825, 0732, 0.9927158648824983
0121, 0511, 0.9927150020565686
1135, 1022, 0.9927089108499251
1013, 0221, 0.9927015731382716
0124, 0631, 0.9926928577156189
0414, 1214, 0.992684580710667
0232, 0735, 0.9926605710470952
0333, 2515, 0.992646753509152
0414, 0431, 0.9926465785759976
0413, 0221, 0.9926447290873187
0323, 1935, 0.9926353247158981
0323, 1233, 0.9926348708914384
0225, 1833, 0.992632119735925
0732, 0131, 0.9926277128385277
2515, 0421, 0.99257903498004
0522, 0114, 0.9925706125243121
2011, 0711, 0.9925642385001464
0912, 1213, 0.9925612911654189
0321, 1222, 0.9925594654425284
1122, 1612, 0.9925530126125874
0831, 0723, 0.9925402105785928
1222, 1433, 0.9925343138896161
1912, 0835, 0.9925220040264888
1713, 2522, 0.9924922421403743
0122, 2213, 0.9924860907477361
1121, 1214, 0.9924788075160457
0132, 1614, 0.9924784949216969
1121, 0414, 0.9924587540965956
0632, 0823, 0.9924549630366096
0223, 0611, 0.9924398884350192
0832, 0725, 0.9924392389511192
1732, 2221, 0.9924324257100221
1221, 1935, 0.9924278807104857
1931, 0711, 0.992426091180836
1211, 1915, 0.99241691347377
0212, 1932, 0.9924094900488524
0531, 0533, 0.9924064687056988
0122, 1235, 0.9924043287417212
2433, 0421, 0.992397711904755
0611, 0733, 0.9923902411152481
2433, 0324, 0.9923883502544627
1231, 1533, 0.9923866322531647
0923, 0324, 0.9923859514388015
0531, 1235, 0.9923829986614274
0412, 2515, 0.9923723564876817
0214, 1125, 0.992357935026853
1912, 1125, 0.9923536575630555
1411, 1432, 0.9923534312604321
1653, 0731, 0.9923507484248522
0612, 0532, 0.9923421389150082
0714, 0411, 0.9923380567405632
0132, 1651, 0.9923343772564808
0725, 1213, 0.9923296316392433
0623, 1511, 0.9923222049688744
1925, 1724, 0.9923164161365274
0722, 0633, 0.9923123456926807
1512, 1132, 0.9922954778806944
0122, 1233, 0.9922911144403911
0321, 1724, 0.99229031865468
2515, 0324, 0.9922895015198525
0211, 1733, 0.9922850846168957
0713, 1232, 0.9922783671251879
1123, 0414, 0.9922719006081908
1032, 1224, 0.9922691822958489
0312, 0334, 0.992265296060268
0832, 0715, 0.9922637430708445
0624, 2223, 0.9922543633321914
0815, 2523, 0.9922517946860657
1911, 2515, 0.9922509721216901
0324, 1913, 0.992240868468364
2213, 0221, 0.992240077824129
0911, 1933, 0.9922031303579105
1612, 0123, 0.9922020461433607
1413, 0532, 0.9922006928768073
0231, 1121, 0.9921949269465423
1432, 1925, 0.9921917774026543
1211, 0522, 0.9921889486804688
0624, 0715, 0.9921868763614906
0823, 0611, 0.9921779457745082
1651, 2534, 0.9921652520303252
0523, 0715, 0.9921568398970205
0334, 0733, 0.9921539168285516
2213, 2523, 0.992146251319099
0932, 2023, 0.9921405228411541
1235, 2523, 0.9921367611629527
1523, 1611, 0.9921176341555912
0915, 1934, 0.9921156456791037
1211, 1125, 0.9921141373735282
0333, 0421, 0.9921119150722228
0724, 1214, 0.9920989617010664
2412, 1915, 0.9920803491215098
0231, 2223, 0.9920785247936342
0214, 1634, 0.9920700988000302
1022, 1634, 0.9920612237802343
0133, 1031, 0.9920572133326188
0725, 0511, 0.9920528640678702
